url,source,api,download_url,volume_name,mip,voxel_x,voxel_y,voxel_z,crop,crop_size,invert,padding_value
https://openorganelle.janelia.org/datasets/jrc_hela-1,openorganelle,xarray,s3://janelia-cosem/jrc_hela-1/neuroglancer/em/fibsem-uint8.precomputed,jrc_hela-1_openorganelle,1,8,8,8,TRUE,256,TRUE,0
https://openorganelle.janelia.org/datasets/jrc_hela-h89-1,openorganelle,xarray,s3://janelia-cosem/jrc_hela-h89-1/jrc_hela-h89-1.n5/em/fibsem-uint16,jrc_hela-h89-1_openorganelle,1,8,8,8,TRUE,256,TRUE,0
https://openorganelle.janelia.org/datasets/jrc_ctl-id8-1,openorganelle,xarray,s3://janelia-cosem/jrc_ctl-id8-1/jrc_ctl-id8-1.n5/em/fibsem-uint16,jrc_ctl-id8-1_openorganelle,2,4,4,3.48,TRUE,256,TRUE,0
https://openorganelle.janelia.org/datasets/jrc_hela-h89-2,openorganelle,xarray,s3://janelia-cosem/jrc_hela-h89-2/jrc_hela-h89-2.n5/em/fibsem-uint16,jrc_hela-h89-2_openorganelle,1,8,8,8,TRUE,256,TRUE,0
https://openorganelle.janelia.org/datasets/jrc_hela-21,openorganelle,xarray,s3://janelia-cosem/jrc_hela-21/jrc_hela-21.n5/em/fibsem-uint8,jrc_hela-21_openorganelle,0,8,8,8,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_hela-2,openorganelle,xarray,s3://janelia-cosem/jrc_hela-2/neuroglancer/em/fibsem-uint8.precomputed,jrc_hela-2_openorganelle,1,4,4,5.24,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_cos7-11,openorganelle,xarray,s3://janelia-cosem/jrc_cos7-11/jrc_cos7-11.n5/em/fibsem-uint16,jrc_cos7-11_openorganelle,1,8,8,8,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_hela-3,openorganelle,xarray,s3://janelia-cosem/jrc_hela-3/neuroglancer/em/fibsem-uint8.precomputed,jrc_hela-3_openorganelle,1,4,4,3.24,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_choroid-plexus-2,openorganelle,xarray,s3://janelia-cosem/jrc_choroid-plexus-2/neuroglancer/em/fibsem-uint8.precomputed,jrc_choroid-plexus-2_openorganelle,0,8,8,8,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_hela-4,openorganelle,xarray,s3://janelia-cosem/jrc_hela-4/neuroglancer/em/fibsem-uint8.precomputed,jrc_hela-4_openorganelle,1,4,4,4.28,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_hela-22,openorganelle,xarray,s3://janelia-cosem/jrc_hela-22/jrc_hela-22.n5/em/fibsem-uint8,jrc_hela-22_openorganelle,0,8,8,8,TRUE,256,TRUE,0
https://openorganelle.janelia.org/datasets/jrc_macrophage-2,openorganelle,xarray,s3://janelia-cosem/jrc_macrophage-2/neuroglancer/em/fibsem-uint8.precomputed,jrc_macrophage-2_openorganelle,1,4,4,3.36,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_fly-fsb-1,openorganelle,xarray,s3://janelia-cosem/jrc_fly-fsb-1/jrc_fly-fsb-1.n5/em/fibsem-uint16,jrc_fly-fsb-1_openorganelle,2,4,4,4,TRUE,256,TRUE,0
https://openorganelle.janelia.org/datasets/jrc_hela-bfa,openorganelle,xarray,s3://janelia-cosem/jrc_hela-bfa/jrc_hela-bfa.n5/em/fibsem-uint8,jrc_hela-bfa_openorganelle,0,8,8,8,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_jurkat-1,openorganelle,xarray,s3://janelia-cosem/jrc_jurkat-1/neuroglancer/em/fibsem-uint8.precomputed,jrc_jurkat-1_openorganelle,1,4,4,3.44,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_mus-pancreas-1,openorganelle,xarray,s3://janelia-cosem/jrc_mus-pancreas-1/neuroglancer/em/fibsem-uint8.precomputed,jrc_mus-pancreas-1_openorganelle,1,4,4,3.4,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_sum159-1,openorganelle,xarray,s3://janelia-cosem/jrc_sum159-1/neuroglancer/em/fibsem-uint8.precomputed,jrc_sum159-1_openorganelle,1,4,4,4.56,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_ctl-id8-5,openorganelle,xarray,s3://janelia-cosem/jrc_ctl-id8-5/jrc_ctl-id8-5.n5/em/fibsem-uint8,jrc_ctl-id8-5_openorganelle,0,8,8,8,TRUE,256,FALSE,0
https://openorganelle.janelia.org/datasets/jrc_fly-acc-calyx-1,openorganelle,xarray,s3://janelia-cosem/jrc_fly-acc-calyx-1/jrc_fly-acc-calyx-1.n5/em/fibsem-uint16,jrc_fly-acc-calyx-1_openorganelle,2,4,4,3.72,TRUE,256,TRUE,0
https://openorganelle.janelia.org/datasets/jrc_ctl-id8-4,openorganelle,xarray,s3://janelia-cosem/jrc_ctl-id8-4/jrc_ctl-id8-4.n5/em/fibsem-uint8,jrc_ctl-id8-4_openorganelle,0,8,8,8,TRUE,256,FALSE,0
